Date,Open,High,Low,Close,Adj Close,Volume
1/2/2015,10859.79981,10889.25,10770.50977,10830.91992,10830.91992,2708700000
1/5/2015,10764.37012,10764.37012,10588.04981,10607.67969,10607.67969,3799120000
1/6/2015,10610.78027,10647.20996,10457.88965,10514.87012,10514.87012,4460110000
1/7/2015,10514.48047,10638.74023,10514.48047,10627.12988,10627.12988,3805480000
1/8/2015,10686,10809.45996,10686,10800.54004,10800.54004,3934010000
1/9/2015,10811.82031,10811.82031,10680.53027,10711.41016,10711.41016,3364140000
1/12/2015,10712.65039,10717.01953,10597.40039,10640.74023,10640.74023,3456460000
1/13/2015,10640.74023,10773.28027,10543.49023,10622.95996,10622.95996,4107300000
1/14/2015,10622.57031,10622.57031,10442.79981,10565.41016,10565.41016,4378680000
1/15/2015,10606.62988,10636.67969,10511.04981,10514.59961,10514.59961,4276720000
1/16/2015,10508.62012,10664.53027,10503.34961,10660.32031,10660.32031,4056410000
1/20/2015,10682,10703.17969,10589.45996,10658.62988,10658.62988,3944340000
1/21/2015,10646,10735.65039,10616.99023,10720.40039,10720.40039,3730070000
1/22/2015,10753.58008,10869,10699.73047,10859.34961,10859.34961,4176050000
1/23/2015,10854.23047,10854.23047,10784.57031,10788.33008,10788.33008,3573560000
1/26/2015,10787.29981,10848.04004,10748.73047,10847.15039,10847.15039,3465760000
1/27/2015,10793.04004,10830.2002,10718.84961,10781.83008,10781.83008,3329810000
1/28/2015,10797.23047,10804.16992,10596.87988,10603.86035,10603.86035,4067530000
1/29/2015,10617.88965,10703.12012,10546.75,10691.62988,10691.62988,4127140000
1/30/2015,10636.04004,10670.17969,10532.54981,10537.21973,10537.21973,4568650000
2/2/2015,10567.95996,10676.44043,10495.70996,10669.03027,10669.03027,4008330000
2/3/2015,10721.57031,10847.44043,10721.57031,10847.41992,10847.41992,4615900000
2/4/2015,10803.49023,10843.84961,10753.98047,10775.04004,10775.04004,4141920000
2/5/2015,10821.34961,10901.21973,10820.57031,10896.05957,10896.05957,3821990000
2/6/2015,10903.29004,10931.75977,10820.83008,10847.50977,10847.50977,4232970000
2/9/2015,10831.04004,10862.87988,10803.96973,10826.58984,10826.58984,3549540000
2/10/2015,10860.70996,10924.65039,10811.26953,10915.13965,10915.13965,3669850000
2/11/2015,10883.91016,10907.80957,10831.51953,10889.04981,10889.04981,3596860000
2/12/2015,10924.19043,10997.12012,10924.19043,10995.30957,10995.30957,3788350000
2/13/2015,11009.87012,11045.92969,11000.78027,11042.69043,11042.69043,3527450000
2/17/2015,11042.78027,11070.07031,11001.03027,11054.46973,11054.46973,3361750000
2/18/2015,11054.45996,11064.12988,11018.96973,11064.09961,11064.09961,3370020000
2/19/2015,11027,11064.62012,11010.15039,11038.25977,11038.25977,3247100000
2/20/2015,11025.26953,11111.41016,10976.29004,11108.66992,11108.66992,3281600000
2/23/2015,11091.46973,11091.46973,11047.20996,11074.58008,11074.58008,3093680000
2/24/2015,11082.12988,11133.78027,11070.57031,11122.12012,11122.12012,3199840000
2/25/2015,11119.63965,11142.55957,11097.79004,11117.92969,11117.92969,3312340000
2/26/2015,11111.83984,11111.83984,11053.86035,11082.09961,11082.09961,3408690000
2/27/2015,11078.54004,11100.24023,11062.12012,11062.79004,11062.79004,3547380000
3/2/2015,11053.66016,11103.33984,11052.29004,11102.82031,11102.82031,3409490000
3/3/2015,11090.76953,11090.76953,11012.66016,11051.21973,11051.21973,3262300000
3/4/2015,11018.79981,11018.79981,10941.13965,11004.67969,11004.67969,3421110000
3/5/2015,11014.7002,11036.2002,10992.16992,11014.25977,11014.25977,3103030000
3/6/2015,10964.23047,10964.23047,10826.4502,10842.16992,10842.16992,3853570000
3/9/2015,10846.04981,10885.08008,10845.98047,10866.62012,10866.62012,3349090000
3/10/2015,10802.5,10802.5,10678.38965,10678.41992,10678.41992,3668900000
3/11/2015,10686.65039,10705.96973,10659.03027,10678.75977,10678.75977,3406570000
3/12/2015,10734.70996,10821.24023,10734.70996,10820.87012,10820.87012,3405860000
3/13/2015,10784.08984,10784.08984,10677.58984,10751.01953,10751.01953,3498560000
3/16/2015,10787.46973,10883.78027,10787.46973,10881.17969,10881.17969,3295600000
3/17/2015,10843.67969,10879.08008,10808.91992,10862.44043,10862.44043,3221840000
3/18/2015,10846.42969,11055.00977,10826.04004,11019.71973,11019.71973,4128210000
3/19/2015,10976.83008,10976.83008,10908.00977,10931.36035,10931.36035,3305220000
3/20/2015,10932.5,11094.26953,10932.5,11070.53027,11070.53027,5554120000
3/23/2015,11089.66016,11115.58008,11070.54004,11070.88965,11070.88965,3267960000
3/24/2015,11071.9502,11080.66016,11019.75,11019.75,11019.75,3189820000
3/25/2015,11036.94043,11057.04981,10897.17969,10897.50977,10897.50977,3521140000
3/26/2015,10877.19043,10911.15039,10815.95996,10865.15039,10865.15039,3510670000
3/27/2015,10860.65039,10877.66016,10838.57031,10875.13965,10875.13965,3008550000
3/30/2015,10919.04981,11009.00977,10919.04981,10989.16016,10989.16016,2917690000
3/31/2015,10914.04981,10955.33984,10890.79981,10899.19043,10899.19043,3376550000
4/1/2015,10906.12988,10909.01953,10834.01953,10891.62012,10891.62012,3543270000
4/2/2015,10897.66016,10974.98047,10895.30957,10953.16016,10953.16016,3095960000
4/6/2015,10936.83984,11068.62988,10927.01953,11033.12012,11033.12012,3302970000
4/7/2015,11042,11082.15039,11012.11035,11013.24023,11013.24023,3065510000
4/8/2015,11038.51953,11073.66992,10995.28027,11032.99023,11032.99023,3265330000
4/9/2015,11028.75,11072.91992,10993.26953,11065.38965,11065.38965,3172360000
4/10/2015,11077.74023,11114.50977,11075.59961,11112.67969,11112.67969,3156200000
4/13/2015,11110.17969,11123.62012,11056.37012,11056.75977,11056.75977,2908420000
4/14/2015,11078.75977,11117.03027,11045.30957,11108.07031,11108.07031,3301270000
4/15/2015,11136.88965,11196.98047,11136.12988,11171.05957,11171.05957,4013760000
4/16/2015,11171.49023,11203.07031,11134.03027,11169.75,11169.75,3434120000
4/17/2015,11113.50977,11113.50977,11010.92969,11058.4502,11058.4502,3627600000
4/20/2015,11058.50977,11144.87988,11058.50977,11116.58008,11116.58008,3000160000
4/21/2015,11115.79981,11161.9502,11085.48047,11100.37988,11100.37988,3243410000
4/22/2015,11113.25,11154.23047,11067.26953,11144.4502,11144.4502,3348480000
4/23/2015,11128.15039,11221.13965,11118.92969,11191.48047,11191.48047,3636670000
4/24/2015,11199.94043,11207.79981,11172.42969,11192.92969,11192.92969,3375780000
4/27/2015,11226.41992,11248.99023,11160.51953,11167.30957,11167.30957,3438750000
4/28/2015,11165.07031,11204.16016,11105.41016,11203.08008,11203.08008,3546270000
4/29/2015,11161.95996,11185.58984,11117.32031,11154.11035,11154.11035,4074970000
4/30/2015,11116.71973,11127.91016,11013.66016,11049.74023,11049.74023,4509680000
5/1/2015,11074.9502,11141.01953,11072.99023,11140.36035,11140.36035,3379390000
5/4/2015,11154.99023,11192.87988,11154.99023,11173.28027,11173.28027,3091580000
5/5/2015,11171.50977,11180.20996,11039.96973,11049.33984,11049.33984,3793950000
5/6/2015,11082.05957,11098.20996,10963.13965,11015.99023,11015.99023,3792210000
5/7/2015,10997.91992,11051.98047,10961.17969,11036.40039,11036.40039,3676640000
5/8/2015,11138.65039,11205.95996,11138.65039,11196.5,11196.5,3399440000
5/11/2015,11182.12012,11198.44043,11134.17969,11140.74023,11140.74023,2992670000
5/12/2015,11106.09961,11136.71973,11058.98047,11113.16992,11113.16992,0
5/13/2015,11131.53027,11165.79981,11103.09961,11117,11117,3374260000
5/14/2015,11163.9502,11208.75,11161.63965,11207.33008,11207.33008,3225740000
5/15/2015,11202.98047,11228.69043,11172.66992,11228.34961,11228.34961,3092080000
5/18/2015,11207.03027,11236.79004,11192.62012,11227.90039,11227.90039,2888190000
5/19/2015,11214.42969,11232.45996,11195.55957,11213.15039,11213.15039,3296030000
5/20/2015,11221.41016,11246.7002,11196.54004,11210.24023,11210.24023,3025880000
5/21/2015,11212.51953,11254.87012,11206.45996,11239.66016,11239.66016,3070460000
5/22/2015,11213.94043,11225.05957,11197.66992,11197.69043,11197.69043,2571860000
5/26/2015,11197.59961,11197.59961,11042.87988,11065.32031,11065.32031,3342130000
5/27/2015,11076.25977,11155.19043,11069.15039,11143.34961,11143.34961,3127960000
5/28/2015,11128.75977,11135.95996,11075.66992,11132.74023,11132.74023,2980350000
5/29/2015,11116.20996,11117.16016,11033.05957,11056.29981,11056.29981,3927390000
6/1/2015,11081.66992,11093.33984,11023.28027,11061.67969,11061.67969,3011710000
6/2/2015,11057.13965,11117.59961,11027.79981,11080.90039,11080.90039,3049350000
6/3/2015,11101.87012,11147.80957,11082,11107.92969,11107.92969,3099980000
6/4/2015,11062.12988,11095.01953,10989.42969,11000.38965,11000.38965,3200050000
6/5/2015,10982.04981,11009.09961,10924.55957,10979.33008,10979.33008,3243690000
6/8/2015,10975.21973,10975.21973,10916.88965,10917.82031,10917.82031,2917150000
6/9/2015,10918.24023,10943.30957,10882.80957,10915.63965,10915.63965,3034580000
6/10/2015,10960.08984,11080.70996,10960.08984,11057.99023,11057.99023,3414320000
6/11/2015,11072.53027,11101.12988,11055.87012,11080.50977,11080.50977,3128600000
6/12/2015,11037.33984,11037.33984,10989.82031,11009.91016,11009.91016,2719400000
6/15/2015,10942.50977,10967.61035,10898.46973,10949.54004,10949.54004,3061570000
6/16/2015,10940.4502,11000.58008,10927.12012,10997.66016,10997.66016,2919900000
6/17/2015,11009.48047,11040.99023,10950.11035,11013.66016,11013.66016,3222240000
6/18/2015,11032.48047,11137.40039,11032.48047,11100.46973,11100.46973,3499000000
6/19/2015,11080.29004,11092.29981,11037.91992,11038.95996,11038.95996,4449810000
6/22/2015,11104.66016,11170.82031,11104.66016,11129.61035,11129.61035,3030020000
6/23/2015,11146.58008,11167.04004,11131.03027,11149.36035,11149.36035,3091190000
6/24/2015,11132.44043,11142.11035,11066.13965,11066.13965,11066.13965,3102480000
6/25/2015,11078.57031,11094.79004,11030.76953,11035.73047,11035.73047,3214610000
6/26/2015,11048.59961,11063.45996,11008.99023,11040.30957,11040.30957,5025470000
6/29/2015,10940.98047,10953.07031,10787.28027,10790.33008,10790.33008,3678960000
6/30/2015,10859.11035,10873.66016,10768.62012,10805.2002,10805.2002,4078540000
7/1/2015,10844.45996,10890.36035,10821.37012,10858.99023,10858.99023,3727260000
7/2/2015,10885.53027,10903.37012,10838.91992,10864.82031,10864.82031,2996540000
7/6/2015,10770.04004,10836.92969,10732.41016,10782.67969,10782.67969,3486360000
7/7/2015,10764.96973,10841.49023,10631.51953,10829.32031,10829.32031,4458660000
7/8/2015,10755.55957,10755.55957,10622.32031,10636.79981,10636.79981,3608780000
7/9/2015,10741.75977,10801.92969,10688.33008,10689.50977,10689.50977,3446810000
7/10/2015,10689.50977,10871.45996,10689.50977,10853.91992,10853.91992,3065070000
7/13/2015,10853.91992,10950.17969,10853.91992,10944.84961,10944.84961,3096730000
